mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__criterion,param_clf__max_depth,param_clf__max_features,param_clf__max_leaf_nodes,param_clf__min_impurity_split,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__min_weight_fraction_leaf,param_clf__n_estimators,param_union__abstractPosTokLemSyn,param_union__abstractWordCount,param_union__char_ngrams,param_union__keyword_vector,param_union__keyword_vector__select_chi2__k,param_union__term_vector,param_union__titleWordCount,param_union__word_ngrams,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
2.4084991455078124,0.3107107639312744,0.6596534653465347,0.6882744427603743,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,600,,,,29,0.6296296296296297,0.6942724458204335,0.6563467492260062,0.6945088940448569,0.6904024767801857,0.6767208043310131,0.6501547987616099,0.6867749419953596,0.6718266253869969,0.6890951276102089,0.015053844847780844,0.001768944500927574,0.02048301324488487,0.0065000463175350605
2.458282136917114,0.31160764694213866,0.6633663366336634,0.6896678710561035,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,620,,,,18,0.6358024691358025,0.7027863777089783,0.6563467492260062,0.6983758700696056,0.6996904024767802,0.6867749419953596,0.6563467492260062,0.6821345707656613,0.6687306501547987,0.6782675947409126,0.1769296854095485,0.0014293942968733556,0.021011972596376507,0.00941286795296577
2.516492176055908,0.3339370250701904,0.6658415841584159,0.6902859886169634,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,640,,,,7,0.6358024691358025,0.6989164086687306,0.6656346749226006,0.6921887084300077,0.6965944272445821,0.6844547563805105,0.6625386996904025,0.691415313225058,0.6687306501547987,0.6844547563805105,0.2316526655436245,0.04036516917299107,0.019334015148572584,0.005429298404365724
2.4818731784820556,0.3376919269561768,0.6639851485148515,0.6922971753116927,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,660,,,,15,0.6388888888888888,0.7012383900928792,0.6563467492260062,0.7014694508894045,0.6965944272445821,0.6821345707656613,0.653250773993808,0.6906419180201083,0.6749226006191951,0.6860015467904099,0.05444535788068058,0.03819707438158672,0.019935428827002714,0.007870569323437122
2.397999954223633,0.36629886627197267,0.6670792079207921,0.6935342484777524,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,680,,,,3,0.6296296296296297,0.6989164086687306,0.6656346749226006,0.7068832173240526,0.7058823529411765,0.6960556844547564,0.6625386996904025,0.6875483372003094,0.6718266253869969,0.6782675947409126,0.06394853092058722,0.05259812135927677,0.024314224530993595,0.009822648391436577
2.36751446723938,0.32103700637817384,0.6596534653465347,0.6865735719125847,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,700,,,,29,0.6265432098765432,0.6981424148606811,0.6563467492260062,0.6937354988399071,0.6965944272445821,0.6821345707656613,0.6563467492260062,0.682907965970611,0.6625386996904025,0.6759474091260634,0.10187367090263184,0.005681553027703943,0.02232920712434746,0.008138649250826515
2.385487413406372,0.3863086700439453,0.6646039603960396,0.6947719202469118,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,720,,,,12,0.6358024691358025,0.7004643962848297,0.6563467492260062,0.7092034029389018,0.6996904024767802,0.691415313225058,0.653250773993808,0.6821345707656613,0.6780185758513931,0.6906419180201083,0.06519277983650819,0.05087683316652361,0.022084704123323366,0.009259571341431516
2.796080541610718,0.4218281269073486,0.6627475247524752,0.6935346076396123,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,740,,,,22,0.6358024691358025,0.7012383900928792,0.6563467492260062,0.7061098221191029,0.7027863777089783,0.6875483372003094,0.6501547987616099,0.6898685228151585,0.6687306501547987,0.682907965970611,0.10212910892089767,0.007446698757740243,0.022650164214050812,0.00871418852408382
2.9653736114501954,0.45085740089416504,0.6621287128712872,0.689202636726934,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,760,,,,23,0.6296296296296297,0.695046439628483,0.6594427244582043,0.6968290796597061,0.7027863777089783,0.6883217324052591,0.6501547987616099,0.679814385150812,0.6687306501547987,0.6860015467904099,0.1954808827132214,0.04402732787768307,0.024103452454393003,0.0061882938039689
2.891335391998291,0.4002864360809326,0.6639851485148515,0.6918321804237632,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,780,,,,15,0.6296296296296297,0.695046439628483,0.6563467492260062,0.6929621036349575,0.7027863777089783,0.691415313225058,0.6563467492260062,0.6875483372003094,0.6749226006191951,0.6921887084300077,0.05822823497529231,0.04132654707861439,0.024182633727200337,0.0024600972314949535
