mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__max_depth,param_clf__max_leaf_nodes,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,param_union__titleWordCount__select__k,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
3.5304538905620575,0.37965866923332214,0.8657178217821783,0.9107138148770202,15,65,1,3,1000,100,52,0.8571428571428571,0.9072894550601557,0.8275862068965517,0.9171974522292994,0.916256157635468,0.9072894550601557,0.8910891089108911,0.905940594059406,0.8316831683168316,0.9108910891089109,0.845771144278607,0.9102473498233216,0.8706467661691543,0.9144876325088339,0.8855721393034826,0.9123674911660777,0.18652182784691063,0.0548580481423256,0.028974679888081542,0.003631443087587257
3.360478699207306,0.36574482917785645,0.869430693069307,0.9190242026200903,15,65,1,3,1000,200,50,0.8768472906403941,0.9193205944798302,0.8571428571428571,0.9235668789808917,0.916256157635468,0.916489738145789,0.8861386138613861,0.917963224893918,0.8465346534653465,0.9172560113154172,0.835820895522388,0.9173144876325088,0.8656716417910447,0.9208480565371024,0.8706467661691543,0.9194346289752651,0.3791036836346352,0.06332680445831897,0.023327657721032763,0.0021742084563335343
3.2908089458942413,0.427493691444397,0.8669554455445545,0.9218535581465304,15,65,1,3,1000,300,51,0.8768472906403941,0.9200283085633404,0.8472906403940886,0.9271054493984431,0.9113300492610837,0.9235668789808917,0.8663366336633663,0.9193776520509194,0.8465346534653465,0.9214992927864215,0.8507462686567164,0.9194346289752651,0.8557213930348259,0.9215547703180212,0.8805970149253731,0.9222614840989399,0.3470967444355984,0.05756743587175638,0.020782757825460157,0.0024034318450051446
3.6372182071208954,0.47324201464653015,0.870049504950495,0.9246819758450764,15,65,1,3,1000,400,49,0.8866995073891626,0.921443736730361,0.8522167487684729,0.9306440198159943,0.916256157635468,0.924274593064402,0.8663366336633663,0.925035360678925,0.8564356435643564,0.9222065063649222,0.8507462686567164,0.9215547703180212,0.845771144278607,0.927208480565371,0.8855721393034826,0.9250883392226148,0.18452226561988483,0.04107252921574519,0.02274855449385037,0.002932122168709689
3.6016822159290314,0.4435233473777771,0.8725247524752475,0.927776224001537,15,65,1,3,1000,500,48,0.9064039408866995,0.9256900212314225,0.8522167487684729,0.9320594479830149,0.9113300492610837,0.9292285916489739,0.8762376237623762,0.9264497878359265,0.8564356435643564,0.9264497878359265,0.8507462686567164,0.9279151943462898,0.8557213930348259,0.9293286219081273,0.8706467661691543,0.9250883392226148,0.213504310964695,0.014697472576235368,0.02266690225362199,0.002178889162555348
3.8489727079868317,0.478214830160141,0.875,0.9277756611986866,15,65,1,3,1000,600,47,0.8817733990147784,0.9249823071479123,0.8669950738916257,0.9334748761500354,0.9064039408866995,0.924274593064402,0.8811881188118812,0.9292786421499293,0.8712871287128713,0.9257425742574258,0.8706467661691543,0.927208480565371,0.8557213930348259,0.930035335689046,0.8656716417910447,0.927208480565371,0.17768653052986438,0.051966988860499747,0.014269456643729694,0.002843485246798365
3.6793955862522125,0.4920417368412018,0.8787128712871287,0.930516177174359,15,65,1,3,1000,700,46,0.9014778325123153,0.9285208775654635,0.8669950738916257,0.9327671620665251,0.916256157635468,0.9285208775654635,0.8663366336633663,0.9306930693069307,0.8712871287128713,0.9328147100424328,0.8706467661691543,0.930035335689046,0.8606965174129353,0.9286219081272085,0.8756218905472637,0.9321554770318021,0.21156762425955838,0.10284898250139256,0.018305782780575538,0.0017624799997114078
4.744977116584778,0.5179567337036133,0.8793316831683168,0.9342281747884322,15,65,1,3,1000,800,45,0.9014778325123153,0.9299363057324841,0.8719211822660099,0.9348903043170559,0.9113300492610837,0.9327671620665251,0.8811881188118812,0.9335219236209336,0.8613861386138614,0.9342291371994342,0.8656716417910447,0.9342756183745583,0.8606965174129353,0.9371024734982332,0.8805970149253731,0.9371024734982332,0.33861764617682166,0.060061790498634145,0.017447552864615364,0.00217994674125523
4.21649631857872,0.5203049182891846,0.8818069306930693,0.9344058531825397,15,65,1,3,1000,900,44,0.9113300492610837,0.9292285916489739,0.8768472906403941,0.9370134465675867,0.916256157635468,0.9341825902335457,0.8613861386138614,0.9384724186704385,0.8712871287128713,0.9349363507779349,0.8706467661691543,0.9321554770318021,0.8656716417910447,0.9321554770318021,0.8805970149253731,0.9371024734982332,0.3034172761985905,0.09799278953073039,0.019382326069038253,0.0029127297318364462
4.188171923160553,0.4978179931640625,0.8867574257425742,0.9356432274882671,15,65,1,3,1000,1000,42,0.9014778325123153,0.9348903043170559,0.8817733990147784,0.9391365888181175,0.9310344827586207,0.9299363057324841,0.8861386138613861,0.937057991513437,0.8712871287128713,0.9363507779349364,0.8656716417910447,0.9335689045936396,0.8606965174129353,0.9371024734982332,0.8955223880597015,0.9371024734982332,0.4986617231743247,0.11830189257432658,0.021352004670138886,0.002655259422286891
