mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__criterion,param_clf__max_depth,param_clf__max_features,param_clf__max_leaf_nodes,param_clf__min_impurity_split,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__min_weight_fraction_leaf,param_clf__n_estimators,param_union__abstractPosTokLemSyn,param_union__abstractWordCount,param_union__char_ngrams,param_union__keyword_vector,param_union__term_vector,param_union__term_vector__select_chi2__k,param_union__titleWordCount,param_union__word_ngrams,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
2.602581739425659,0.3257272720336914,0.8780940594059405,0.8867571036229854,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,,Pipeline,4100,,,10,0.8672839506172839,0.8846749226006192,0.9009287925696594,0.8824439288476411,0.8854489164086687,0.8901778808971385,0.8544891640866873,0.8917246713070379,0.8823529411764706,0.8847641144624904,0.06550401585148018,0.00458199700027947,0.01592032452109847,0.0035577916212567538
2.600209045410156,0.3310889720916748,0.8793316831683168,0.8873760592281851,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,,Pipeline,4150,,,7,0.8672839506172839,0.8862229102167183,0.9102167182662538,0.8863109048723898,0.8823529411764706,0.8901778808971385,0.8513931888544891,0.8901778808971385,0.8854489164086687,0.8839907192575406,0.0669163366955889,0.007355748859416345,0.01962344738632088,0.0024341422509949182
2.6527734756469727,0.4024366855621338,0.8818069306930693,0.8884596505594544,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,,Pipeline,4250,,,3,0.8765432098765432,0.891640866873065,0.9102167182662538,0.8839907192575406,0.8854489164086687,0.8863109048723898,0.8513931888544891,0.8932714617169374,0.8854489164086687,0.8870843000773395,0.060056982608973276,0.04535141864704724,0.01889617375644539,0.0034569844606771737
2.663364887237549,0.33518171310424805,0.880569306930693,0.8892325668819243,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,,Pipeline,4300,,,4,0.8734567901234568,0.8885448916408669,0.9071207430340558,0.8847641144624904,0.8854489164086687,0.8917246713070379,0.8544891640866873,0.8932714617169374,0.8823529411764706,0.8878576952822892,0.05694754880916148,0.011699360657263274,0.017099612924072735,0.0029951124229770656
2.612621021270752,0.39081540107727053,0.8787128712871287,0.8883048517978447,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,,Pipeline,4350,,,9,0.8734567901234568,0.8908668730650154,0.9040247678018576,0.8778035576179428,0.8792569659442725,0.8863109048723898,0.8544891640866873,0.897138437741686,0.8823529411764706,0.8894044856921887,0.10509906365331537,0.05397300647271433,0.015924528583707163,0.00632547851307121
2.6064990520477296,0.38147568702697754,0.8836633663366337,0.8887684100383346,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,,Pipeline,4400,,,1,0.8765432098765432,0.8877708978328174,0.9102167182662538,0.8847641144624904,0.8854489164086687,0.8901778808971385,0.8575851393188855,0.8940448569218871,0.8885448916408669,0.8870843000773395,0.1272546728865443,0.055564160352058856,0.01710041021385963,0.003152558955400269
2.9066617488861084,0.4286938190460205,0.880569306930693,0.889851881648984,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,,Pipeline,4450,,,4,0.8734567901234568,0.8924148606811145,0.9102167182662538,0.8870843000773395,0.8792569659442725,0.888631090487239,0.8575851393188855,0.897138437741686,0.8823529411764706,0.8839907192575406,0.197496114531252,0.07812970742012862,0.017099612924072697,0.004542374370445594
3.217523431777954,0.44951906204223635,0.8793316831683168,0.8887690086414344,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,,Pipeline,4500,,,7,0.8672839506172839,0.891640866873065,0.9102167182662538,0.8832173240525909,0.8823529411764706,0.8870843000773395,0.8513931888544891,0.8940448569218871,0.8854489164086687,0.8878576952822892,0.11070805778532995,0.0122767389096129,0.01962344738632088,0.00375691579728461
3.214384984970093,0.44638400077819823,0.8830445544554455,0.8892328063231641,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,,Pipeline,4550,,,2,0.8765432098765432,0.8900928792569659,0.9102167182662538,0.8847641144624904,0.8854489164086687,0.888631090487239,0.8575851393188855,0.8955916473317865,0.8854489164086687,0.8870843000773395,0.17190564845866682,0.009299660726550668,0.016968071071349376,0.003636534955300134
3.198674726486206,0.44533452987670896,0.8774752475247525,0.8884595308388346,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,,Pipeline,4600,,,11,0.8672839506172839,0.8908668730650154,0.9071207430340558,0.8832173240525909,0.8823529411764706,0.8894044856921887,0.8544891640866873,0.8924980665119876,0.8761609907120743,0.8863109048723898,0.12382592833694399,0.014597208721724092,0.01752693713734463,0.003319497919432402
3.1977184772491456,0.44765005111694334,0.880569306930693,0.8878408146748746,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,,Pipeline,4650,,,4,0.8734567901234568,0.8908668730650154,0.9102167182662538,0.8870843000773395,0.8885448916408669,0.88553750966744,0.8513931888544891,0.8924980665119876,0.8792569659442725,0.8832173240525909,0.1622549390719046,0.012665831781759994,0.01921014868383504,0.0034088478371067316
3.0730965614318846,0.4194048881530762,0.8774752475247525,0.8884588125151147,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,,Pipeline,4700,,,11,0.8641975308641975,0.8862229102167183,0.9071207430340558,0.88553750966744,0.8761609907120743,0.8901778808971385,0.8452012383900929,0.8878576952822892,0.8947368421052632,0.8924980665119876,0.0929206480168619,0.049472197591125075,0.02188843196228014,0.0025754758898787478
