mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__criterion,param_clf__max_depth,param_clf__max_features,param_clf__max_leaf_nodes,param_clf__min_impurity_split,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__min_weight_fraction_leaf,param_clf__n_estimators,param_union__abstractTokenizedAndLemmatized,param_union__abstractWordCount,param_union__abstractWordCount__select_chi2__k,param_union__char_ngrams,param_union__titleWordCount,param_union__title_keyword_vector,param_union__title_term_vector,param_union__word_ngrams,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
2.9954078992207847,0.6103944778442383,0.9294554455445545,0.9495658351208006,gini,12,log2,40,1e-05,3,5,0.0,600,,Pipeline,46020,,,,,,1,0.9314814814814815,0.9479553903345725,0.9312267657992565,0.9545454545454546,0.9256505576208178,0.9461966604823747,0.1158710487684447,0.04507270737496954,0.0026899770255548157,0.0035935813041260384
2.6840827465057373,0.6998398303985596,0.9294554455445545,0.9495658351208006,gini,12,log2,40,1e-05,3,5,0.0,600,,Pipeline,1220,,,,,,1,0.9314814814814815,0.9479553903345725,0.9312267657992565,0.9545454545454546,0.9256505576208178,0.9461966604823747,0.1723212917487193,0.07626835382696967,0.0026899770255548157,0.0035935813041260384
2.8521341482798257,0.7255856196085612,0.9294554455445545,0.9495658351208006,gini,12,log2,40,1e-05,3,5,0.0,600,,Pipeline,8620,,,,,,1,0.9314814814814815,0.9479553903345725,0.9312267657992565,0.9545454545454546,0.9256505576208178,0.9461966604823747,0.2724533222640496,0.13488032190183621,0.0026899770255548157,0.0035935813041260384
3.5087093512217202,0.8967874844868978,0.9294554455445545,0.9495658351208006,gini,12,log2,40,1e-05,3,5,0.0,600,,Pipeline,43020,,,,,,1,0.9314814814814815,0.9479553903345725,0.9312267657992565,0.9545454545454546,0.9256505576208178,0.9461966604823747,0.372953594696292,0.12149825220794591,0.0026899770255548157,0.0035935813041260384
3.6712725162506104,0.8030064900716146,0.9294554455445545,0.9495658351208006,gini,12,log2,40,1e-05,3,5,0.0,600,,Pipeline,13220,,,,,,1,0.9314814814814815,0.9479553903345725,0.9312267657992565,0.9545454545454546,0.9256505576208178,0.9461966604823747,0.31071072186709014,0.1332785778784969,0.0026899770255548157,0.0035935813041260384
3.9752628803253174,0.7491601308186849,0.9294554455445545,0.9495658351208006,gini,12,log2,40,1e-05,3,5,0.0,600,,Pipeline,7020,,,,,,1,0.9314814814814815,0.9479553903345725,0.9312267657992565,0.9545454545454546,0.9256505576208178,0.9461966604823747,0.4711717054610232,0.05650523260887517,0.0026899770255548157,0.0035935813041260384
3.8514224688212075,0.7543423970540365,0.9294554455445545,0.9495658351208006,gini,12,log2,40,1e-05,3,5,0.0,600,,Pipeline,40620,,,,,,1,0.9314814814814815,0.9479553903345725,0.9312267657992565,0.9545454545454546,0.9256505576208178,0.9461966604823747,0.21077785509031377,0.06321837634111054,0.0026899770255548157,0.0035935813041260384
4.200070858001709,0.8216234842936198,0.9294554455445545,0.9495658351208006,gini,12,log2,40,1e-05,3,5,0.0,600,,Pipeline,56020,,,,,,1,0.9314814814814815,0.9479553903345725,0.9312267657992565,0.9545454545454546,0.9256505576208178,0.9461966604823747,0.192004317243366,0.15720495319572014,0.0026899770255548157,0.0035935813041260384
3.9373637040456138,0.7987438042958578,0.9294554455445545,0.9495658351208006,gini,12,log2,40,1e-05,3,5,0.0,600,,Pipeline,51620,,,,,,1,0.9314814814814815,0.9479553903345725,0.9312267657992565,0.9545454545454546,0.9256505576208178,0.9461966604823747,0.43629018240740564,0.0976920783330581,0.0026899770255548157,0.0035935813041260384
3.881542364756266,0.7300628026326498,0.9294554455445545,0.9495658351208006,gini,12,log2,40,1e-05,3,5,0.0,600,,Pipeline,77620,,,,,,1,0.9314814814814815,0.9479553903345725,0.9312267657992565,0.9545454545454546,0.9256505576208178,0.9461966604823747,0.5471126071465393,0.06447334412024006,0.0026899770255548157,0.0035935813041260384
