mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__criterion,param_clf__max_depth,param_clf__max_features,param_clf__max_leaf_nodes,param_clf__min_impurity_split,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__min_weight_fraction_leaf,param_clf__n_estimators,param_union__abstractPosTokLemSyn,param_union__abstractPosTokLemSyn__select_chi2__k,param_union__abstractWordCount,param_union__char_ngrams,param_union__keyword_vector,param_union__term_vector,param_union__titleWordCount,param_union__word_ngrams,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
3.0026233196258545,0.5351093610127767,0.9220297029702971,0.958539380605233,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,3000,,,,,,,38,0.9259259259259259,0.95817843866171,0.9237918215613383,0.9582560296846011,0.9163568773234201,0.9591836734693877,0.062060542666291345,0.04267279969962675,0.004101238466930855,0.0004566837438234295
2.9067157904307046,0.5369499524434408,0.9257425742574258,0.9594687486349728,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,3200,,,,,,,16,0.9314814814814815,0.9609665427509294,0.9237918215613383,0.9591836734693877,0.9219330855018587,0.9582560296846011,0.08186833179127734,0.03295524498628596,0.004135680067220129,0.0011247729128462964
2.994431257247925,0.5801448027292887,0.9201732673267327,0.9582318902552572,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,3400,,,,,,,45,0.9259259259259259,0.9609665427509294,0.9182156133828996,0.9564007421150278,0.9163568773234201,0.9573283858998145,0.03062199251871164,0.09387909699345874,0.004145257019912395,0.001970427018343637
2.989943027496338,0.5027885437011719,0.9226485148514851,0.9597785379782193,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,3600,,,,,,,34,0.924074074074074,0.9618959107806692,0.9200743494423792,0.9591836734693877,0.9237918215613383,0.9582560296846011,0.008194450998661165,0.021267616174000845,0.0018221698116992723,0.0015443620983605722
3.011507034301758,0.5867276191711426,0.9220297029702971,0.9600866030765127,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,3800,,,,,,,38,0.9277777777777778,0.9600371747211895,0.9200743494423792,0.9591836734693877,0.9182156133828996,0.961038961038961,0.0630205803687574,0.018636818693357253,0.004142064616947445,0.000758223961278717
2.8653248151143393,0.5561064879099528,0.9257425742574258,0.9600854535798774,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,4000,,,,,,,16,0.9296296296296296,0.95817843866171,0.9237918215613383,0.9591836734693877,0.9237918215613383,0.9628942486085343,0.03580265575483928,0.054282041473940376,0.0027536673268874993,0.002028073205351622
3.0388851165771484,0.5753312905629476,0.9263613861386139,0.9600848788315597,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,4200,,,,,,,7,0.9333333333333333,0.9572490706319703,0.9237918215613383,0.9582560296846011,0.9219330855018587,0.9647495361781077,0.1860818530497813,0.03699093515221859,0.0049969468030781165,0.0033239296777505963
3.027193784713745,0.6933349768320719,0.9226485148514851,0.9607038827697352,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,4400,,,,,,,34,0.9277777777777778,0.95817843866171,0.9200743494423792,0.9601113172541744,0.9200743494423792,0.963821892393321,0.31657803765646886,0.05437121245481106,0.00363367186177731,0.002341722004975834
3.5410974820454917,0.756811777750651,0.9207920792079208,0.9588480204518443,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,4600,,,,,,,44,0.924074074074074,0.9572490706319703,0.9219330855018587,0.9582560296846011,0.9163568773234201,0.961038961038961,0.1982409638856799,0.056353360793332585,0.003252952861226258,0.0016028427091942718
3.5928770701090493,0.7184794743855795,0.9232673267326733,0.9585388058569153,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,4800,,,,,,,30,0.9296296296296296,0.9572490706319703,0.9182156133828996,0.9564007421150278,0.9219330855018587,0.9619666048237476,0.1540013214424278,0.0740089848913018,0.004755534100303705,0.002448437547488517
