mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__criterion,param_clf__max_depth,param_clf__max_leaf_nodes,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
6.2125997841358185,1.5682039260864258,0.9498762376237624,0.991690299655462,gini,14,35,2,2,1500,76,0.9605911330049262,0.9915074309978769,0.9507389162561576,0.9900920028308563,0.9655172413793104,0.9922151450813871,0.9504950495049505,0.9929278642149929,0.9603960396039604,0.9936350777934936,0.9353233830845771,0.9915194346289753,0.9303482587064676,0.9886925795053003,0.945273631840796,0.9929328621908127,0.21834184371788554,0.253741359958734,0.011642040559284935,0.001530386677525382
8.187342435121536,1.6359359622001648,0.9591584158415841,0.9990277684883695,gini,15,35,1,4,1500,10,0.9655172413793104,0.9985845718329794,0.9655172413793104,0.9992922859164898,0.9852216748768473,1.0,0.9455445544554455,1.0,0.9702970297029703,0.9985855728429985,0.9402985074626866,1.0,0.9402985074626866,0.9964664310954063,0.9601990049751243,0.9992932862190813,0.32581434587268365,0.3047766030343833,0.014925983753473522,0.0011140343899791096
8.46376696228981,1.6687376201152802,0.9591584158415841,0.9993813128913505,gini,12,40,1,2,1500,10,0.9605911330049262,0.9985845718329794,0.9556650246305419,1.0,0.9802955665024631,1.0,0.9455445544554455,1.0,0.9653465346534653,0.9992927864214993,0.9552238805970149,1.0,0.9502487562189055,0.9978798586572438,0.9601990049751243,0.9992932862190813,0.41095969956435585,0.26312848335567357,0.009889504790216462,0.0007446342823613579
7.928425222635269,1.5840124189853668,0.9529702970297029,0.9914250320003979,gini,14,35,2,5,1500,44,0.9605911330049262,0.9900920028308563,0.9605911330049262,0.9900920028308563,0.9655172413793104,0.9929228591648974,0.9455445544554455,0.9936350777934936,0.9603960396039604,0.9915134370579916,0.9502487562189055,0.9915194346289753,0.9303482587064676,0.9893992932862191,0.9502487562189055,0.992226148409894,0.535194045843338,0.344618256733466,0.010660564950211148,0.0013894177875178146
7.581728756427765,1.501884639263153,0.9047029702970297,0.955975502824753,gini,13,40,3,5,1500,93,0.9113300492610837,0.9603680113234253,0.8620689655172413,0.9646142958244869,0.9458128078817734,0.9582448690728945,0.900990099009901,0.9448373408769448,0.8811881188118812,0.9314002828854314,0.9154228855721394,0.9568904593639576,0.8955223880597015,0.9681978798586572,0.9253731343283582,0.9632508833922262,0.12857066164238057,0.2050860206497071,0.024390738981516235,0.011348060370841488
8.36638194322586,1.5298203527927399,0.9585396039603961,0.9992045094082969,gini,13,35,1,3,1500,17,0.9753694581280788,0.9985845718329794,0.9556650246305419,0.9992922859164898,0.9802955665024631,1.0,0.9405940594059405,1.0,0.9653465346534653,0.9992927864214993,0.945273631840796,1.0,0.9502487562189055,0.9978798586572438,0.9552238805970149,0.9985865724381625,0.49645242979985577,0.1272717287281411,0.013188273785776153,0.0007445453058351922
7.724763005971909,1.4958754777908325,0.9053217821782178,0.9562407080051192,gini,15,40,3,3,1500,84,0.9113300492610837,0.9603680113234253,0.8669950738916257,0.9653220099079972,0.9458128078817734,0.9582448690728945,0.900990099009901,0.9448373408769448,0.8811881188118812,0.9321074964639321,0.9154228855721394,0.9568904593639576,0.8955223880597015,0.9689045936395759,0.9253731343283582,0.9632508833922262,0.5935001828219972,0.12444308945506331,0.023341137438212305,0.011324248070063138
7.7536230981349945,1.4217432141304016,0.9504950495049505,0.991513558647106,gini,15,65,2,2,1500,59,0.9605911330049262,0.9907997169143666,0.9556650246305419,0.9900920028308563,0.9556650246305419,0.9922151450813871,0.9504950495049505,0.9936350777934936,0.9603960396039604,0.9936350777934936,0.945273631840796,0.9908127208480565,0.9303482587064676,0.9886925795053003,0.945273631840796,0.992226148409894,0.34728355486296814,0.15656249360455823,0.009436149376753968,0.0016194591137540584
7.73943504691124,1.542451411485672,0.9047029702970297,0.955975502824753,gini,13,40,3,2,1500,93,0.9113300492610837,0.9603680113234253,0.8620689655172413,0.9646142958244869,0.9458128078817734,0.9582448690728945,0.900990099009901,0.9448373408769448,0.8811881188118812,0.9314002828854314,0.9154228855721394,0.9568904593639576,0.8955223880597015,0.9681978798586572,0.9253731343283582,0.9632508833922262,0.7431135205071202,0.18767411415156862,0.024390738981516235,0.011348060370841488
8.123179614543915,1.4403842091560364,0.9504950495049505,0.991513558647106,gini,15,40,2,4,1500,59,0.9605911330049262,0.9907997169143666,0.9556650246305419,0.9900920028308563,0.9556650246305419,0.9922151450813871,0.9504950495049505,0.9936350777934936,0.9603960396039604,0.9936350777934936,0.945273631840796,0.9908127208480565,0.9303482587064676,0.9886925795053003,0.945273631840796,0.992226148409894,0.6671792094384006,0.07810407405883123,0.009436149376753968,0.0016194591137540584
7.922431945800781,1.4387008547782898,0.9053217821782178,0.9562407080051192,gini,15,40,3,5,1500,84,0.9113300492610837,0.9603680113234253,0.8669950738916257,0.9653220099079972,0.9458128078817734,0.9582448690728945,0.900990099009901,0.9448373408769448,0.8811881188118812,0.9321074964639321,0.9154228855721394,0.9568904593639576,0.8955223880597015,0.9689045936395759,0.9253731343283582,0.9632508833922262,0.735270828948005,0.1568222687330475,0.023341137438212305,0.011324248070063138
