mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__criterion,param_clf__max_depth,param_clf__max_features,param_clf__max_leaf_nodes,param_clf__min_impurity_split,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__min_weight_fraction_leaf,param_clf__n_estimators,param_union__abstractPosTokLemSyn,param_union__abstractWordCount,param_union__char_ngrams,param_union__keyword_vector,param_union__keyword_vector__select_chi2__k,param_union__term_vector,param_union__titleWordCount,param_union__word_ngrams,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
2.3955323696136475,0.31285486221313474,0.6571782178217822,0.6782192276104483,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,200,,,,5,0.6265432098765432,0.6873065015479877,0.6501547987616099,0.6852281515854601,0.6934984520123839,0.6697602474864656,0.653250773993808,0.6759474091260634,0.6625386996904025,0.6728538283062645,0.01794084582977077,0.0011703990593175725,0.021691472912807073,0.006887765625522425
2.3298826217651367,0.3117498874664307,0.661509900990099,0.6848712644173557,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,400,,,,3,0.6327160493827161,0.6927244582043344,0.6501547987616099,0.691415313225058,0.6996904024767802,0.6782675947409126,0.653250773993808,0.6813611755607115,0.6718266253869969,0.6805877803557618,0.06682075982544546,0.0013402413018892688,0.022765698620190247,0.0059795424596949046
2.3487037658691405,0.31252708435058596,0.6596534653465347,0.6882744427603743,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,600,,,,4,0.6296296296296297,0.6942724458204335,0.6563467492260062,0.6945088940448569,0.6904024767801857,0.6767208043310131,0.6501547987616099,0.6867749419953596,0.6718266253869969,0.6890951276102089,0.10505813987926299,0.0016934050369969884,0.02048301324488487,0.0065000463175350605
2.4192219257354735,0.31386723518371584,0.6646039603960396,0.6910583063363335,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,800,,,,1,0.6265432098765432,0.6919504643962848,0.6563467492260062,0.7006960556844548,0.7027863777089783,0.6836813611755607,0.6656346749226006,0.6952822892498066,0.6718266253869969,0.6836813611755607,0.11417390087351387,0.0016524102769446807,0.024619248244948617,0.006638717194828551
2.3609615325927735,0.34953761100769043,0.6621287128712872,0.698482780583231,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,1000,,,,2,0.6172839506172839,0.6911764705882353,0.6563467492260062,0.7107501933488012,0.6996904024767802,0.6945088940448569,0.6563467492260062,0.6937354988399071,0.6811145510835913,0.7022428460943542,0.1197093381586477,0.04459116447546744,0.02776003543842212,0.007160141514274045
2.743637704849243,0.42506070137023927,0.6349009900990099,0.6721869844530802,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,1200,,,,6,0.6234567901234568,0.6888544891640866,0.5139318885448917,0.5901005413766435,0.7027863777089783,0.6960556844547564,0.6563467492260062,0.6968290796597061,0.6780185758513931,0.6890951276102089,0.13635572638934615,0.008875879425172721,0.06584671269297111,0.0411796620947693
2.6944907665252686,0.37438144683837893,0.6318069306930693,0.6731176925526591,gini,11,log2,55,1e-05,2,3,0.0,1000,,,,Pipeline,1400,,,,7,0.6327160493827161,0.7058823529411765,0.6563467492260062,0.7006960556844548,0.5294117647058824,0.57153905645785,0.6625386996904025,0.6890951276102089,0.6780185758513931,0.6983758700696056,0.21485258707829538,0.052720843504458194,0.05321464528264595,0.05107947211313275
