mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__max_depth,param_clf__max_leaf_nodes,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__n_estimators,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,split5_test_score,split5_train_score,split6_test_score,split6_train_score,split7_test_score,split7_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
7.077802747488022,0.7395731210708618,0.9467821782178217,0.9670265921105916,14,35,1,5,1289,45,0.9507389162561576,0.9695682944090588,0.9556650246305419,0.9653220099079972,0.9556650246305419,0.9681528662420382,0.9257425742574258,0.9681753889674681,0.9455445544554455,0.9667609618104668,0.9701492537313433,0.9625441696113074,0.9353233830845771,0.9689045936395759,0.9353233830845771,0.9667844522968198,1.1114853014390373,0.06166334259406185,0.013337663612695283,0.0021125302082953957
6.228263944387436,0.7666593194007874,0.948019801980198,0.966938065375455,15,35,1,5,1289,25,0.9458128078817734,0.9681528662420382,0.9556650246305419,0.9646142958244869,0.9556650246305419,0.9695682944090588,0.9356435643564357,0.9674681753889675,0.9455445544554455,0.9667609618104668,0.9751243781094527,0.9646643109540636,0.9303482587064676,0.9674911660777386,0.9402985074626866,0.9667844522968198,0.14455756356975172,0.06570689439773188,0.013147017097915041,0.0015654715612803125
6.210862576961517,0.824002206325531,0.948019801980198,0.9688827157343809,15,40,1,4,1290,25,0.9458128078817734,0.9695682944090588,0.9556650246305419,0.9660297239915074,0.9556650246305419,0.970276008492569,0.9356435643564357,0.9710042432814711,0.9455445544554455,0.9695898161244696,0.9751243781094527,0.9653710247349824,0.9303482587064676,0.9689045936395759,0.9402985074626866,0.9703180212014134,0.17253051936164557,0.08523419874522424,0.013147017097915041,0.0019346921237792718
6.326308041810989,0.7996213734149933,0.948019801980198,0.9689711174316935,15,40,1,4,1289,25,0.9458128078817734,0.9695682944090588,0.9556650246305419,0.9660297239915074,0.9556650246305419,0.970276008492569,0.9356435643564357,0.9717114568599717,0.9455445544554455,0.9695898161244696,0.9751243781094527,0.9653710247349824,0.9303482587064676,0.9689045936395759,0.9402985074626866,0.9703180212014134,0.2325258638065686,0.07320870803124693,0.013147017097915041,0.0020427508185150993
6.356319844722748,0.7995364964008331,0.9461633663366337,0.9717996603449205,14,65,1,5,1291,69,0.9458128078817734,0.97310686482661,0.9556650246305419,0.9688605803255484,0.9556650246305419,0.9716914366595896,0.9257425742574258,0.9731258840169731,0.9455445544554455,0.9717114568599717,0.9701492537313433,0.9703180212014134,0.9353233830845771,0.9724381625441696,0.9353233830845771,0.9731448763250884,0.28612422942677546,0.05532373460864929,0.013253743768213689,0.0014377883193326365
6.463772892951965,0.7713512182235718,0.9467821782178217,0.9674683506099351,14,35,1,3,1294,45,0.9507389162561576,0.9695682944090588,0.9556650246305419,0.9646142958244869,0.9556650246305419,0.9681528662420382,0.9257425742574258,0.9702970297029703,0.9455445544554455,0.9667609618104668,0.9701492537313433,0.9653710247349824,0.9353233830845771,0.9667844522968198,0.9353233830845771,0.9681978798586572,0.38205653087974367,0.08180285320422906,0.013337663612695283,0.0018345464121468922
6.744157493114471,0.8270938992500305,0.9467821782178217,0.9687059748144535,14,40,1,4,1293,45,0.9507389162561576,0.9709837225760792,0.9556650246305419,0.9660297239915074,0.9556650246305419,0.9688605803255484,0.9257425742574258,0.9702970297029703,0.9455445544554455,0.9695898161244696,0.9701492537313433,0.9660777385159011,0.9353233830845771,0.9674911660777386,0.9353233830845771,0.9703180212014134,0.34717710009429065,0.09067187258486008,0.013337663612695283,0.0018258240323917316
6.391058176755905,0.7972901463508606,0.9455445544554455,0.9667616994805709,14,35,1,4,1290,77,0.9507389162561576,0.970276008492569,0.9556650246305419,0.9653220099079972,0.9556650246305419,0.9681528662420382,0.9207920792079208,0.9674681753889675,0.9455445544554455,0.9674681753889675,0.9701492537313433,0.9625441696113074,0.9303482587064676,0.9660777385159011,0.9353233830845771,0.9667844522968198,0.38026469425489373,0.11450449201416622,0.014923955248380135,0.0021098730342030843
6.606766521930695,0.7320860624313354,0.9461633663366337,0.9720649280884129,14,65,1,4,1291,69,0.9507389162561576,0.97310686482661,0.9556650246305419,0.970276008492569,0.9556650246305419,0.9716914366595896,0.9207920792079208,0.9731258840169731,0.9455445544554455,0.9717114568599717,0.9701492537313433,0.9703180212014134,0.9353233830845771,0.9724381625441696,0.9353233830845771,0.9738515901060071,0.4688139191377749,0.06343035413634583,0.01437403497518648,0.0012277560589246882
6.687352895736694,0.8125051259994507,0.9486386138613861,0.9725068116255804,15,65,1,5,1292,8,0.9458128078817734,0.97310686482661,0.9556650246305419,0.9695682944090588,0.9556650246305419,0.9723991507430998,0.9356435643564357,0.9738330975954739,0.9455445544554455,0.9731258840169731,0.9751243781094527,0.9710247349823321,0.9353233830845771,0.9724381625441696,0.9402985074626866,0.9745583038869258,0.3318643929523363,0.1277360367356962,0.012396333112283851,0.001481498718038506
