mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__criterion,param_clf__max_depth,param_clf__max_features,param_clf__max_leaf_nodes,param_clf__min_impurity_split,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__min_weight_fraction_leaf,param_clf__n_estimators,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
3.6688839912414553,0.7328821659088135,0.9474009900990099,0.9726177392437009,gini,15,log2,30,1e-06,4,2,0.0,1200,220,0.9444444444444444,0.9736842105263158,0.9659442724458205,0.974477958236659,0.934984520123839,0.974477958236659,0.9287925696594427,0.9706109822119103,0.9628482972136223,0.9698375870069605,0.15629102175020507,0.013512818269918118,0.014771644007891743,0.001990703927974188
3.8764162063598633,0.6655940055847168,0.9535891089108911,0.9757113200634999,gini,14,log2,40,1e-05,2,5,0.0,1200,159,0.9506172839506173,0.9736842105263158,0.9659442724458205,0.9767981438515081,0.9504643962848297,0.9783449342614076,0.9411764705882353,0.9760247486465584,0.9597523219814241,0.9737045630317092,0.13092718432110495,0.08293694696170331,0.008521818267153165,0.001808402279730017
3.9897525787353514,0.7186500549316406,0.9548267326732673,0.9760207978660997,gini,15,log2,40,1e-06,2,4,0.0,1200,85,0.9475308641975309,0.9744582043343654,0.9690402476780186,0.9767981438515081,0.9504643962848297,0.9783449342614076,0.9442724458204335,0.9767981438515081,0.9628482972136223,0.9737045630317092,0.14745545991192296,0.026718311466698588,0.009485867064295425,0.001698045105379588
4.461243343353272,0.8788766384124755,0.9461633663366337,0.9719989033591212,gini,11,log2,70,1e-05,4,5,0.0,1200,249,0.9382716049382716,0.9729102167182663,0.9690402476780186,0.9752513534416086,0.934984520123839,0.9729311678267595,0.9287925696594427,0.9706109822119103,0.9597523219814241,0.9682907965970611,0.3203903443577199,0.0700247161061611,0.015469030167283715,0.0023645050850002744
4.569660615921021,0.8696833610534668,0.9461633663366337,0.9724629404820909,gini,12,log2,40,1e-05,4,6,0.0,1200,249,0.9382716049382716,0.9729102167182663,0.9659442724458205,0.9760247486465584,0.934984520123839,0.9729311678267595,0.9287925696594427,0.97138437741686,0.9628482972136223,0.9690641918020109,0.21526158185832095,0.0603732362971685,0.015219316321245874,0.002272468312396724
4.864419984817505,0.8614054679870605,0.9560643564356436,0.97540196198152,gini,12,log2,30,1e-05,2,5,0.0,1200,44,0.9506172839506173,0.9736842105263158,0.9690402476780186,0.9760247486465584,0.9535603715170279,0.9775715390564579,0.9442724458204335,0.9760247486465584,0.9628482972136223,0.9737045630317092,0.3583759851673309,0.08852467806278694,0.008823107700171532,0.00150430212398111
4.739945125579834,0.8904476165771484,0.9474009900990099,0.972463060202711,gini,14,log2,30,1e-05,4,4,0.0,1200,220,0.9444444444444444,0.9736842105263158,0.9659442724458205,0.9760247486465584,0.934984520123839,0.9737045630317092,0.9287925696594427,0.9706109822119103,0.9628482972136223,0.9682907965970611,0.34544820497642,0.06174768281358851,0.014771644007891743,0.002703928195693293
4.611119556427002,0.978308916091919,0.9542079207920792,0.9746285667765703,gini,13,log2,30,1e-05,3,3,0.0,1200,107,0.9475308641975309,0.9736842105263158,0.9659442724458205,0.9760247486465584,0.9411764705882353,0.9737045630317092,0.9504643962848297,0.9760247486465584,0.9659442724458205,0.9737045630317092,0.10663832433751266,0.07814231253534736,0.010037188638440539,0.0011400019470682104
5.089394283294678,0.9518368244171143,0.9585396039603961,0.9896347084443743,gini,14,log2,70,1e-06,1,3,0.0,1200,1,0.9537037037037037,0.9883900928792569,0.9752321981424149,0.991492652745553,0.9535603715170279,0.9899458623356535,0.9473684210526315,0.9899458623356535,0.9628482972136223,0.988399071925754,0.3212389493939381,0.07968874894608646,0.009694977629495083,0.0011594357270223404
4.870850658416748,0.9727083683013916,0.9535891089108911,0.9741645296536003,gini,10,log2,70,1e-06,3,6,0.0,1200,159,0.9475308641975309,0.9736842105263158,0.9659442724458205,0.9783449342614076,0.9442724458204335,0.9729311678267595,0.9473684210526315,0.974477958236659,0.9628482972136223,0.97138437741686,0.12645240009534597,0.1354662955610965,0.008949277130384396,0.0023261622678158035
