mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__criterion,param_clf__max_depth,param_clf__max_features,param_clf__max_leaf_nodes,param_clf__min_impurity_split,param_clf__min_samples_leaf,param_clf__min_samples_split,param_clf__min_weight_fraction_leaf,param_clf__n_estimators,param_union__abstractPosTokLemSyn,param_union__abstractPosTokLemSyn__select_chi2__k,param_union__abstractWordCount,param_union__char_ngrams,param_union__keyword_vector,param_union__term_vector,param_union__titleWordCount,param_union__word_ngrams,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
4.0788110256195065,0.7619853973388672,0.9245049504950495,0.9639547551833043,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,40500,,,,,,,10,0.9135802469135802,0.9674922600619195,0.9597523219814241,0.9605568445475638,0.9195046439628483,0.9566898685228151,0.913312693498452,0.9659706109822119,0.9164086687306502,0.9690641918020109,0.28893577796837605,0.049982699388318855,0.017759160311294566,0.004626193528313031
4.202840328216553,0.8913025379180908,0.9275990099009901,0.9634908377809543,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,40600,,,,,,,5,0.9135802469135802,0.968266253869969,0.9628482972136223,0.9636504253673627,0.9102167182662538,0.9613302397525135,0.913312693498452,0.962877030162413,0.9380804953560371,0.9613302397525135,0.13241091639983996,0.11621392075120925,0.020270563502863406,0.0025512034217027783
4.170987749099732,0.8447343349456787,0.926980198019802,0.9637997169804544,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,40700,,,,,,,7,0.9166666666666666,0.9651702786377709,0.9597523219814241,0.9613302397525135,0.9226006191950464,0.9621036349574633,0.913312693498452,0.9644238205723125,0.9226006191950464,0.9659706109822119,0.18815338031692364,0.1027900119057363,0.01676306943327992,0.0017863783095848028
5.260949754714966,0.953961706161499,0.926980198019802,0.9634899997366146,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,40800,,,,,,,7,0.9104938271604939,0.9628482972136223,0.9628482972136223,0.962877030162413,0.9164086687306502,0.9590100541376644,0.9226006191950464,0.9659706109822119,0.9226006191950464,0.9667440061871616,0.35665872807519455,0.11108397349741789,0.01848363265535148,0.0027422405630597216
5.230734586715698,0.8490150928497314,0.9288366336633663,0.9634907180603344,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,40900,,,,,,,4,0.9197530864197531,0.9674922600619195,0.9597523219814241,0.9574632637277649,0.9226006191950464,0.9651972157772621,0.9195046439628483,0.9644238205723125,0.9226006191950464,0.962877030162413,0.26564532575058336,0.09600612776245296,0.015509114531698356,0.0033616059172203584
5.443311262130737,0.9246780395507812,0.9294554455445545,0.9631808810958746,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,41000,,,,,,,3,0.9166666666666666,0.9643962848297214,0.9628482972136223,0.962877030162413,0.9226006191950464,0.9621036349574633,0.9164086687306502,0.9621036349574633,0.9287925696594427,0.9644238205723125,0.34256616609422696,0.19880780935350492,0.017296600631524744,0.001042626361986488
5.540578460693359,0.8006173610687256,0.9251237623762376,0.9634903588984745,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,41100,,,,,,,9,0.9197530864197531,0.9651702786377709,0.9535603715170279,0.962877030162413,0.9256965944272446,0.9659706109822119,0.9071207430340558,0.9636504253673627,0.9195046439628483,0.9597834493426141,0.2481991771907242,0.06652018850863005,0.015445691498206559,0.002150197786141185
5.5146137237548825,0.8913012504577636,0.9275990099009901,0.9655011864313439,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,41200,,,,,,,5,0.9228395061728395,0.9651702786377709,0.9535603715170279,0.9636504253673627,0.9256965944272446,0.9667440061871616,0.9102167182662538,0.9651972157772621,0.9256965944272446,0.9667440061871616,0.2917743088186429,0.09019912278035251,0.01418079794616856,0.0011590009951023097
5.56282525062561,0.8550968647003174,0.9306930693069307,0.965346028507874,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,41300,,,,,,,1,0.9135802469135802,0.9620743034055728,0.9690402476780186,0.9636504253673627,0.9226006191950464,0.962877030162413,0.9226006191950464,0.9667440061871616,0.9256965944272446,0.97138437741686,0.1883920959059537,0.06917196286042425,0.01959088281222631,0.0034085541545783903
5.527975225448609,0.8846045017242432,0.9300742574257426,0.9633352009750047,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,41400,,,,,,,2,0.9259259259259259,0.9620743034055728,0.9628482972136223,0.9644238205723125,0.9164086687306502,0.9659706109822119,0.9226006191950464,0.962877030162413,0.9226006191950464,0.9613302397525135,0.25992285442563345,0.03999692643662618,0.01666732375682855,0.001670337164259608
5.176980495452881,0.8505691528320313,0.9214108910891089,0.9631808810958746,gini,11,log2,55,1e-05,2,3,0.0,1000,Pipeline,41500,,,,,,,11,0.9074074074074074,0.9643962848297214,0.9597523219814241,0.9605568445475638,0.913312693498452,0.9621036349574633,0.9071207430340558,0.9613302397525135,0.9195046439628483,0.9675174013921114,0.3966357536016807,0.14562785609976944,0.019692599069729422,0.002520060116238195
