mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_clf__criterion,param_clf__n_estimators,param_union__abstractPosTokLemSyn1,param_union__abstractPosTokLemSyn1__vectorizer__ngram_range,param_union__abstractPosTokLemSyn2,param_union__abstractPosTokLemSyn2__vectorizer__ngram_range,param_union__abstractWordCount,param_union__char_ngrams,param_union__keyword_vector,param_union__term_vector,param_union__titleWordCount,param_union__word_ngrams,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
15.439866256713866,1.1633729457855224,0.9226485148514851,1.0,gini,1000,Pipeline,"(1, 1)",Pipeline,"(1, 1)",,,,,,,6,0.9135802469135802,1.0,0.9504643962848297,1.0,0.9164086687306502,1.0,0.9195046439628483,1.0,0.913312693498452,1.0,1.1041378758868825,0.13254036881006875,0.014082432476066747,0.0
39.23963141441345,1.411001205444336,0.9238861386138614,1.0,gini,1000,Pipeline,"(1, 1)",Pipeline,"(3, 3)",,,,,,,1,0.9074074074074074,1.0,0.9442724458204335,1.0,0.9195046439628483,1.0,0.9287925696594427,1.0,0.9195046439628483,1.0,2.7817911080286026,0.15712000324439407,0.012247403601376905,0.0
17.38534812927246,1.2177725315093995,0.9226485148514851,1.0,gini,1000,Pipeline,"(2, 2)",Pipeline,"(1, 1)",,,,,,,6,0.9135802469135802,1.0,0.9504643962848297,1.0,0.9164086687306502,1.0,0.9195046439628483,1.0,0.913312693498452,1.0,0.7185592335600052,0.2669668925632373,0.014082432476066747,0.0
42.56343102455139,1.499112606048584,0.9238861386138614,1.0,gini,1000,Pipeline,"(2, 2)",Pipeline,"(3, 3)",,,,,,,1,0.9074074074074074,1.0,0.9442724458204335,1.0,0.9195046439628483,1.0,0.9287925696594427,1.0,0.9195046439628483,1.0,3.514734336902894,0.4789483248718155,0.012247403601376905,0.0
17.10782289505005,1.1419523715972901,0.9226485148514851,1.0,gini,1000,Pipeline,"(3, 3)",Pipeline,"(1, 1)",,,,,,,6,0.9135802469135802,1.0,0.9504643962848297,1.0,0.9164086687306502,1.0,0.9195046439628483,1.0,0.913312693498452,1.0,2.3841187488643083,0.23771932818881536,0.014082432476066747,0.0
43.24413642883301,1.421253776550293,0.9238861386138614,1.0,gini,1000,Pipeline,"(3, 3)",Pipeline,"(3, 3)",,,,,,,1,0.9074074074074074,1.0,0.9442724458204335,1.0,0.9195046439628483,1.0,0.9287925696594427,1.0,0.9195046439628483,1.0,2.5605530859306262,0.19023083435179164,0.012247403601376905,0.0
16.85047516822815,1.268537425994873,0.9226485148514851,1.0,gini,1000,Pipeline,"(1, 2)",Pipeline,"(1, 1)",,,,,,,6,0.9135802469135802,1.0,0.9504643962848297,1.0,0.9164086687306502,1.0,0.9195046439628483,1.0,0.913312693498452,1.0,3.0456914704783835,0.23907609667702565,0.014082432476066747,0.0
40.83501863479614,1.2645933628082275,0.9238861386138614,1.0,gini,1000,Pipeline,"(1, 2)",Pipeline,"(3, 3)",,,,,,,1,0.9074074074074074,1.0,0.9442724458204335,1.0,0.9195046439628483,1.0,0.9287925696594427,1.0,0.9195046439628483,1.0,2.3586383871930825,0.1836638770108911,0.012247403601376905,0.0
16.578702449798584,1.1528759956359864,0.9226485148514851,1.0,gini,1000,Pipeline,"(2, 3)",Pipeline,"(1, 1)",,,,,,,6,0.9135802469135802,1.0,0.9504643962848297,1.0,0.9164086687306502,1.0,0.9195046439628483,1.0,0.913312693498452,1.0,1.6006459894440144,0.27155369695338055,0.014082432476066747,0.0
37.062932920455935,1.0953124046325684,0.9238861386138614,1.0,gini,1000,Pipeline,"(2, 3)",Pipeline,"(3, 3)",,,,,,,1,0.9074074074074074,1.0,0.9442724458204335,1.0,0.9195046439628483,1.0,0.9287925696594427,1.0,0.9195046439628483,1.0,11.508603420415533,0.4015194672979113,0.012247403601376905,0.0
